Campaign,Date Sent,Email abuse report rate,Email abuse reports,Email bounce rate,Email bounces,Email click rate,Email clicked,Email clicks per unique opens (MPP excluded),Email deliveries,Email delivery rate,Email open rate (MPP excluded),Email opened (MPP excluded),Email total clicks,Email total opens (MPP excluded),Email unsubscribe rate,Email unsubscribes,Emails sent
"Projects","2026-06-09 12:00:00","0%","0","0%","0","0.50%","17","1.1%","3,404","100%","46.8%","1,592","57","1,704","0.38%","13","3,404"
"Quick Ask","2026-06-11 09:37:25","0%","0","0.18%","1","0%","0","0%","551","99.8%","65.0%","358","0","387","0%","0","552"
"Quick Ask","2026-06-11 09:48:02","0%","0","0.11%","2","0.17%","3","0.51%","1,742","99.9%","34.1%","594","8","743","0.52%","9","1,744"
"Quick Ask","2026-06-11 09:50:40","0%","0","0%","0","0.24%","3","0.37%","1,236","100%","66.1%","817","3","893","0.16%","2","1,236"
"Quick Ask","2026-06-11 09:52:56","0%","0","0.20%","6","0.48%","14","0.69%","2,945","99.8%","68.9%","2,028","38","2,482","0.31%","9","2,951"
"Quick Ask","2026-06-11 09:54:40","0%","0","0.11%","2","0.11%","2","0.15%","1,798","99.9%","74.9%","1,346","2","1,461","0.33%","6","1,800"
"Quick Ask","2026-06-11 10:57:14","0.03%","1","0.12%","4","0.72%","24","1.6%","3,322","99.9%","45.5%","1,510","41","1,628","0.27%","9","3,326"
"Agent Won","2026-06-14 13:52:49","0%","0","1.6%","2","0.79%","1","2.6%","127","98.4%","29.9%","38","1","43","0.79%","1","129"
"Agent Won","2026-06-14 13:56:15","0%","0","1.6%","2","0%","0","0%","127","98.4%","11.8%","15","0","18","0%","0","129"
"Agent Won","2026-06-14 13:59:48","0%","0","1.4%","2","0%","0","0%","137","98.6%","38.7%","53","0","56","0.73%","1","139"
"Agent Won","2026-06-14 14:01:54","0%","0","1.3%","3","0%","0","0%","229","98.7%","10.5%","24","0","29","0%","0","232"
"Agent Won","2026-06-14 14:03:52","0%","0","0.36%","1","1.1%","3","3.0%","273","99.6%","36.3%","99","5","119","0.73%","2","274"
"Agent Won","2026-06-14 14:06:30","0%","0","0.72%","1","0.72%","1","10%","138","99.3%","7.2%","10","2","27","0%","0","139"
"Agent Lost","2026-06-16 09:00:00","0.14%","1","1.1%","8","0.41%","3","4.8%","737","98.9%","8.4%","62","4","102","0.41%","3","745"
"Agent Lost","2026-06-16 09:00:00","0%","0","1.1%","2","0%","0","0%","181","98.9%","24.3%","44","0","50","0%","0","183"
"Agent Lost","2026-06-16 09:00:00","0%","0","1.2%","4","0.30%","1","1.1%","338","98.8%","26.6%","90","1","99","0.59%","2","342"
"Agent Lost","2026-06-16 09:00:00","0%","0","1.5%","10","0.76%","5","1.9%","656","98.5%","39.3%","258","5","325","0.91%","6","666"
"Agent Lost","2026-06-16 10:00:00","0.24%","1","2.1%","9","0%","0","0%","410","97.9%","7.1%","29","0","31","0.49%","2","419"
"Agent Lost","2026-06-16 12:00:00","0%","0","2.0%","8","0.50%","2","6.9%","397","98.0%","7.3%","29","2","31","0%","0","405"
"Seller Objection","2026-06-18 10:15:00","0.08%","1","0.31%","4","0.46%","6","0.77%","1,307","99.7%","59.9%","783","7","853","0.77%","10","1,311"
"Seller Objection","2026-06-18 10:15:00","0%","0","0.32%","2","0.16%","1","0.26%","614","99.7%","63.0%","387","1","424","0.33%","2","616"
"Seller Objection","2026-06-18 10:15:00","0%","0","0.09%","2","0.28%","6","0.77%","2,131","99.9%","36.7%","783","12","991","0.38%","8","2,133"
"Seller Objection","2026-06-18 10:15:00","0%","0","0.31%","9","0.41%","12","0.67%","2,934","99.7%","61.2%","1,797","26","2,217","0.37%","11","2,943"
"Seller Objection","2026-06-18 11:15:00","0%","0","0.11%","2","0.12%","2","0.15%","1,738","99.9%","74.3%","1,291","2","1,353","0.23%","4","1,740"
"Seller Objection","2026-06-18 13:15:00","0.04%","1","0.07%","2","0.78%","22","1.5%","2,824","99.9%","53.3%","1,505","37","1,633","0.32%","9","2,826"
"Buyer Psych","2026-06-24 09:30:00","0%","0","0.14%","3","0.52%","11","1.5%","2,134","99.9%","33.7%","720","16","1,044","0.47%","10","2,137"
"Buyer Psych","2026-06-24 09:30:00","0%","0","0.23%","3","0.08%","1","0.15%","1,288","99.8%","53.4%","688","1","869","0.23%","3","1,291"
"Buyer Psych","2026-06-24 09:30:00","0%","0","0.31%","9","0.65%","19","1.2%","2,912","99.7%","55.5%","1,616","38","2,424","0.27%","8","2,921"
"Buyers Psych","2026-06-24 09:30:00","0%","0","0%","0","0.33%","2","0.57%","611","100%","57.0%","348","2","382","0.16%","1","611"
"Buyer Psych","2026-06-24 10:30:00","0%","0","0.47%","8","0.24%","4","0.32%","1,702","99.5%","72.4%","1,232","4","1,328","0.18%","3","1,710"
"Buyer Psych","2026-06-24 12:30:00","0%","0","0.07%","2","0.80%","22","1.6%","2,739","99.9%","49.7%","1,360","36","1,459","0.29%","8","2,741"
"Personal","2026-06-26 18:15:00","0.13%","15","3.0%","367","0.17%","20","0.82%","11,865","97.0%","20.6%","2,447","30","3,517","1.5%","177","12,232"
"Personal","2026-06-26 18:15:00","0.08%","1","0.16%","2","0.08%","1","0.15%","1,263","99.8%","54.2%","685","1","1,057","0.32%","4","1,265"
"Personal","2026-06-26 18:15:00","0.03%","1","0.28%","8","0.42%","12","0.69%","2,861","99.7%","60.8%","1,739","25","2,654","0.21%","6","2,869"
"Personal","2026-06-26 18:15:00","0%","0","0.16%","1","0%","0","0%","608","99.8%","57.4%","349","0","389","0.16%","1","609"
"Personal","2026-06-26 19:15:00","0%","0","0.30%","5","0.24%","4","0.33%","1,685","99.7%","72.6%","1,223","4","1,456","0.24%","4","1,690"
"Personal","2026-06-26 21:15:00","0%","0","0.19%","5","0.80%","21","1.5%","2,636","99.8%","53.8%","1,419","36","1,576","0.38%","10","2,641"
"Personal Mass test","2026-06-30 19:15:00","0.01%","1","3.8%","351","0.15%","13","2.8%","8,880","96.2%","5.1%","457","13","537","0.19%","17","9,231"
"July 4th","2026-07-03 13:50:46","0%","0","0.29%","5","0.86%","15","1.5%","1,745","99.7%","58.3%","1,017","15","1,114","0.29%","5","1,750"
"July 4th","2026-07-03 13:54:15","0%","0","0%","0","0%","0","0%","582","100%","58.6%","341","0","376","0.86%","5","582"
"July 4th","2026-07-03 13:57:07","0%","0","0.20%","10","0.22%","11","0.60%","5,092","99.8%","35.9%","1,830","18","2,278","1.3%","64","5,102"
"July 4th","2026-07-03 13:59:45","0%","0","0.22%","6","10.8%","293","15.9%","2,701","99.8%","68.4%","1,848","308","2,578","0.44%","12","2,707"
"July 4th","2026-07-03 14:02:30","0.06%","1","0%","0","0.12%","2","0.16%","1,618","100%","75.7%","1,225","2","1,291","0.25%","4","1,618"
"July 4th","2026-07-03 14:04:58","0.04%","1","0.16%","4","10.0%","255","18.0%","2,540","99.8%","55.7%","1,414","271","1,763","0.12%","3","2,544"
"Halfway","2026-07-07 14:20:51","0%","0","0.16%","4","11.8%","299","19.7%","2,530","99.8%","60.1%","1,520","316","2,009","0.24%","6","2,534"
"Halfway","2026-07-07 14:23:44","0%","0","0.06%","1","8.4%","136","11.0%","1,610","99.9%","77.1%","1,241","136","1,410","0.25%","4","1,611"
"Halfway","2026-07-07 14:26:19","0.04%","1","0.22%","6","19.4%","521","25.4%","2,683","99.8%","76.3%","2,048","538","3,068","0.34%","9","2,689"
"Halfway","2026-07-07 14:29:10","0.02%","1","0.14%","7","1.6%","79","4.0%","5,038","99.9%","39.1%","1,968","85","2,594","1.0%","52","5,045"
"Halfway","2026-07-07 14:31:28","0%","0","0.46%","8","4.8%","84","7.5%","1,745","99.5%","64.3%","1,122","84","1,328","0.52%","9","1,753"
"Halfway","2026-07-07 14:33:26","0%","0","0.17%","1","1.2%","7","1.9%","572","99.8%","64.9%","371","7","411","0.70%","4","573"
"Quick tip","2026-07-09 17:19:31","0%","0","0%","0","1.2%","7","1.9%","566","100%","65.5%","371","7","433","0.18%","1","566"
"Quick tip","2026-07-09 17:22:34","0.06%","1","0.36%","6","4.7%","78","7.0%","1,644","99.6%","67.7%","1,113","78","1,280","0.43%","7","1,650"
"Quick tip","2026-07-09 17:25:16","0%","0","0.14%","7","1.7%","86","4.2%","4,978","99.9%","40.7%","2,028","91","2,710","0.92%","46","4,985"
"Quick tip","2026-07-09 17:27:49","0.04%","1","0.04%","1","19.4%","518","25.4%","2,673","100.0%","76.4%","2,041","533","2,889","0.41%","11","2,674"
"Quick tip","2026-07-09 17:30:30","0%","0","0.06%","1","8.0%","128","10.2%","1,605","99.9%","78.1%","1,253","128","1,419","0.25%","4","1,606"
"Quick tip","2026-07-09 17:35:51","0.04%","1","0.04%","1","12.4%","313","19.7%","2,515","100.0%","63.1%","1,588","328","1,976","0.28%","7","2,516"
"Price","2026-07-13 16:55:14","0.02%","1","0.12%","6","1.4%","68","3.9%","4,901","99.9%","36.0%","1,766","71","2,435","1.1%","52","4,907"
"Price","2026-07-13 17:02:17","0%","0","0%","0","2.6%","14","3.8%","538","100%","68.2%","367","14","405","0.19%","1","538"
"Price","2026-07-13 17:06:35","0%","0","0.24%","4","4.5%","73","6.7%","1,638","99.8%","66.5%","1,090","77","1,208","0.37%","6","1,642"
"Price","2026-07-13 17:09:49","0%","0","0.08%","2","17.3%","439","22.2%","2,534","99.9%","77.9%","1,974","456","2,752","0.63%","16","2,536"
"Price","2026-07-13 17:14:42","0.06%","1","0%","0","7.3%","114","9.1%","1,560","100%","80%","1,248","116","1,330","0.26%","4","1,560"
"Price","2026-07-13 17:18:21","0%","0","0.13%","3","17.5%","408","25.7%","2,331","99.9%","68.1%","1,587","426","1,843","0.34%","8","2,334"
"First Impression","2026-07-16 17:44:50","0%","0","0.19%","1","0.19%","1","0.27%","534","99.8%","68.7%","367","1","406","0.19%","1","535"
"First Impression","2026-07-16 17:46:52","0.06%","1","0.37%","6","0.37%","6","0.55%","1,625","99.6%","67.2%","1,092","8","1,222","0.55%","9","1,631"
"First Impression","2026-07-16 17:48:33","0.02%","1","0.08%","4","0.12%","6","0.33%","4,846","99.9%","37.4%","1,813","15","2,315","0.74%","36","4,850"
"First Impressions","2026-07-16 17:50:21","0%","0","0.04%","1","0.48%","12","0.69%","2,510","100.0%","69.0%","1,731","30","2,177","0.16%","4","2,511"
"First Impressions","2026-07-16 17:52:07","0%","0","0.06%","1","0.13%","2","0.16%","1,549","99.9%","79.3%","1,229","2","1,299","0.39%","6","1,550"
"First Impressions","2026-07-16 17:56:32","0%","0","0.09%","2","0.86%","20","1.3%","2,320","99.9%","64.6%","1,499","49","1,655","0.56%","13","2,322"
"August prep","2026-07-20 18:04:09","0%","0","0%","0","0%","0","0%","529","100%","67.3%","356","0","397","0.57%","3","529"
"August prep","2026-07-20 18:07:19","0%","0","0.13%","2","0.26%","4","0.46%","1,564","99.9%","55.9%","874","6","939","0.70%","11","1,566"
"August prep","2026-07-20 18:08:57","0.02%","1","0.09%","4","0.11%","5","0.32%","4,602","99.9%","33.5%","1,541","8","1,943","0.65%","30","4,606"
"August prep","2026-07-20 18:10:45","0.08%","2","0.12%","3","0.56%","14","0.96%","2,501","99.9%","58.3%","1,457","31","1,879","0.48%","12","2,504"
"August prep","2026-07-20 18:12:33","0%","0","0.07%","1","0.07%","1","0.09%","1,537","99.9%","74.0%","1,137","1","1,204","0.39%","6","1,538"
"August prep","2026-07-20 18:14:08","0%","0","0.09%","2","0.96%","22","1.5%","2,298","99.9%","62.1%","1,427","52","1,581","0.26%","6","2,300"
"Honestly","2026-07-23 17:36:51","0%","0","0%","0","0%","0","0%","526","100%","66.5%","350","0","380","0.57%","3","526"
"Honestly","2026-07-23 17:39:28","0%","0","0.06%","1","0.13%","2","0.19%","1,548","99.9%","68.8%","1,065","4","1,161","0.26%","4","1,549"
"Honestly","2026-07-23 17:41:18","0.04%","2","0.04%","2","0.49%","22","1.2%","4,526","100.0%","39.8%","1,801","33","2,257","0.82%","37","4,528"
"Honestly","2026-07-23 17:43:04","0%","0","0%","0","0.40%","10","0.57%","2,481","100%","70.3%","1,745","28","2,169","0.28%","7","2,481"
"Honestly","2026-07-23 17:45:55","0%","0","0.07%","1","0.20%","3","0.24%","1,527","99.9%","80.4%","1,228","3","1,290","0.13%","2","1,528"
"Honestly","2026-07-23 17:49:47","0%","0","0.17%","4","0.66%","15","0.93%","2,282","99.8%","70.3%","1,605","44","1,761","0.26%","6","2,286"
"Around the corner","2026-07-27 17:52:12","0%","0","0%","0","0%","0","0%","523","100%","65.8%","344","0","377","0.19%","1","523"
"Around the corner","2026-07-27 17:55:11","0.07%","1","0.07%","1","0.13%","2","0.20%","1,525","99.9%","66.1%","1,008","4","1,121","0.33%","5","1,526"
"Around the corner","2026-07-27 17:56:42","0.02%","1","0.02%","1","0.07%","3","0.17%","4,377","100.0%","39.5%","1,731","5","2,155","0.64%","28","4,378"
"Around the corner","2026-07-27 17:58:22","0.08%","2","0.08%","2","0.41%","10","0.60%","2,466","99.9%","68.1%","1,680","27","2,122","0.45%","11","2,468"
"Around the corner","2026-07-27 18:00:28","0%","0","0.07%","1","0%","0","0%","1,521","99.9%","76.1%","1,158","0","1,225","0.33%","5","1,522"
"Around the corner","2026-07-27 18:02:02","0%","0","0.13%","3","0.84%","19","1.4%","2,275","99.9%","61.8%","1,406","50","1,535","0.31%","7","2,278"
"Easy tip","2026-07-30 17:02:58","0%","0","0.38%","2","0%","0","0%","518","99.6%","63.9%","331","0","368","0.19%","1","520"
"Easy tip","2026-07-30 17:05:36","0%","0","0.07%","1","0.20%","3","0.31%","1,507","99.9%","63.7%","960","6","1,038","0.27%","4","1,508"
"Easy tip","2026-07-30 17:07:23","0.02%","1","0.09%","4","0.37%","16","0.96%","4,282","99.9%","39.1%","1,674","22","2,063","0.42%","18","4,286"
"Easy tip","2026-07-30 17:09:14","0%","0","0.04%","1","0.61%","15","0.90%","2,447","100.0%","68.5%","1,675","31","2,124","0.33%","8","2,448"
"Easy tip","2026-07-30 17:10:46","0%","0","0.13%","2","0.07%","1","0.08%","1,513","99.9%","78.8%","1,193","1","1,264","0.20%","3","1,515"
"Easy tip","2026-07-30 17:16:09","0.04%","1","0.18%","4","0.62%","14","1.0%","2,259","99.8%","61.5%","1,390","44","1,528","0.35%","8","2,263"
"3 changes","2026-08-03 15:00:00","0%","0","0.07%","1","0%","0","0%","1,494","99.9%","65.6%","980","0","1,047","0.20%","3","1,495"
"3 changes","2026-08-03 15:00:00","0%","0","0%","0","0%","0","0%","4,238","100%","35.4%","1,499","0","1,769","0.57%","24","4,238"
"3 changes","2026-08-03 15:00:00","0%","0","0.04%","1","0%","0","0%","2,406","100.0%","67.1%","1,615","0","2,042","0.21%","5","2,407"
"3 Changes","2026-08-03 15:00:00","0%","0","0%","0","0%","0","0%","515","100%","65.6%","338","0","370","0%","0","515"
"3 changes","2026-08-03 16:00:00","0.07%","1","0.07%","1","0%","0","0%","1,509","99.9%","77.5%","1,169","0","1,235","0.33%","5","1,510"
"3 changes","2026-08-03 18:00:00","0%","0","0.04%","1","0%","0","0%","2,251","100.0%","59.9%","1,348","0","1,472","0.18%","4","2,252"
"SPEAR","2026-08-06 17:12:44","0%","0","0%","0","0%","0","0%","513","100%","64.9%","333","0","365","0.58%","3","513"
"SPEAR","2026-08-06 17:14:54","0.07%","1","0.07%","1","0%","0","0%","1,472","99.9%","51.8%","762","0","840","0.20%","3","1,473"
"SPEAR","2026-08-06 17:16:23","0.05%","2","0.14%","6","0%","0","0%","4,154","99.9%","35.5%","1,473","0","1,897","0.87%","36","4,160"
"SPEAR","2026-08-06 17:18:25","0%","0","0.04%","1","0%","0","0%","2,391","100.0%","57.9%","1,384","0","1,805","0.17%","4","2,392"
"SPEAR","2026-08-06 17:21:39","0%","0","0.33%","5","0%","0","0%","1,498","99.7%","76.5%","1,146","0","1,196","0.27%","4","1,503"
"SPEAR","2026-08-06 17:24:36","0%","0","0.18%","4","0%","0","0%","2,240","99.8%","60.7%","1,360","0","1,551","0.04%","1","2,244"
"Photo tax","2026-08-10 18:06:53","0%","0","0%","0","0%","0","0%","509","100%","69.0%","351","0","382","0%","0","509"
"Photo tax","2026-08-10 18:14:59","0%","0","0.14%","2","0.07%","1","0.11%","1,459","99.9%","61.6%","899","3","971","0.27%","4","1,461"
"Photo tax","2026-08-10 18:18:21","0%","0","0.12%","5","0.22%","9","0.50%","4,088","99.9%","44.0%","1,799","15","2,336","0.59%","24","4,093"
"Photo tax","2026-08-10 18:20:13","0.04%","1","0.25%","6","0.38%","9","0.51%","2,379","99.7%","74.7%","1,777","24","2,252","0.25%","6","2,385"
"Photo tax","2026-08-10 18:21:51","0%","0","0.13%","2","0.13%","2","0.17%","1,490","99.9%","78.9%","1,175","2","1,257","0.13%","2","1,492"
"Photo tax","2026-08-10 18:23:39","0%","0","0.18%","4","0.63%","14","1.0%","2,231","99.8%","61.6%","1,374","44","1,513","0.18%","4","2,235"
"First weekend","2026-08-13 14:19:10","0%","0","0.20%","1","0%","0","0%","507","99.8%","64.3%","326","0","346","0.20%","1","508"
"First weekend","2026-08-13 14:21:10","0%","0","0.07%","1","0%","0","0%","1,440","99.9%","51.4%","740","0","780","0.35%","5","1,441"
"First weekend","2026-08-13 14:22:32","0%","0","0.05%","2","0%","0","0%","4,044","100.0%","41.0%","1,660","0","1,842","0.96%","39","4,046"
"First weekend","2026-08-13 14:23:56","0%","0","0.25%","6","0%","0","0%","2,357","99.7%","66.5%","1,567","0","1,941","0.17%","4","2,363"
"First weekend","2026-08-13 14:25:16","0%","0","0.27%","4","0%","0","0%","1,483","99.7%","75.4%","1,118","0","1,164","0.20%","3","1,487"
"First weekend","2026-08-13 14:26:59","0%","0","0.09%","2","0%","0","0%","2,216","99.9%","59.6%","1,321","0","1,482","0.18%","4","2,218"
"3 week mark","2026-08-17 17:08:42","0%","0","0%","0","0.60%","3","0.88%","500","100%","68.2%","341","3","375","0.80%","4","500"
"3 week mark","2026-08-17 17:11:18","0%","0","0.14%","2","2.3%","32","3.2%","1,411","99.9%","71.2%","1,005","34","1,104","0.14%","2","1,413"
"3 week mark","2026-08-17 17:14:25","0%","0","0.08%","3","0.78%","31","1.9%","3,960","99.9%","40.2%","1,593","36","1,964","0.56%","22","3,963"
"3 week mark","2026-08-17 17:17:12","0%","0","0.18%","4","5.3%","120","6.9%","2,276","99.8%","76.6%","1,743","137","2,187","0.22%","5","2,280"
"3 week mark","2026-08-17 17:18:57","0%","0","0.20%","3","2.1%","30","2.7%","1,463","99.8%","75.9%","1,111","30","1,186","0.14%","2","1,466"
"3 week mark","2026-08-17 17:22:27","0%","0","0%","0","14.5%","315","21.9%","2,178","100%","66.0%","1,437","345","1,745","0.28%","6","2,178"
"Vacant problem","2026-08-20 17:07:37","0%","0","0%","0","0%","0","0%","496","100%","66.5%","330","0","361","0%","0","496"
"Vacant problem","2026-08-20 17:09:53","0%","0","0%","0","1%","14","1.4%","1,400","100%","70%","980","17","1,063","0.07%","1","1,400"
"Vacant problem","2026-08-20 17:12:46","0.03%","1","0.13%","5","0.26%","10","0.67%","3,897","99.9%","38.2%","1,489","15","1,779","0.44%","17","3,902"
"Vacant problem","2026-08-20 17:14:40","0.04%","1","0.04%","1","1.2%","27","1.5%","2,266","100.0%","78.0%","1,768","44","2,114","0.09%","2","2,267"
"Vacant problem","2026-08-20 17:16:44","0%","0","0.07%","1","0.41%","6","0.53%","1,454","99.9%","77.9%","1,133","6","1,186","0.07%","1","1,455"
"Vacant problem","2026-08-20 17:21:57","0%","0","0.05%","1","11.0%","238","17.6%","2,166","100.0%","62.3%","1,349","254","1,628","0.09%","2","2,167"
"Sunday no show","2026-08-24 18:02:28","0%","0","0%","0","0.40%","2","0.59%","496","100%","68.8%","341","3","385","0.60%","3","496"
"Sunday no show","2026-08-24 18:04:44","0%","0","0.07%","1","1.4%","20","2.0%","1,387","99.9%","70.8%","982","23","1,089","0.22%","3","1,388"
"Sunday no show","2026-08-24 18:06:26","0.03%","1","0.16%","6","0.62%","24","1.5%","3,846","99.8%","43.0%","1,654","31","2,083","0.57%","22","3,852"
"Sunday no show","2026-08-24 18:12:36","0%","0","0.13%","3","1.4%","31","1.7%","2,262","99.9%","81.2%","1,836","47","2,265","0.18%","4","2,265"
"Sunday no show","2026-08-24 18:14:43","0%","0","0.21%","3","0.28%","4","0.34%","1,450","99.8%","80.8%","1,172","4","1,241","0%","0","1,453"
"Sunday no show","2026-08-24 18:21:11","0%","0","0.09%","2","11.5%","247","17.7%","2,157","99.9%","64.6%","1,394","263","1,722","0.14%","3","2,159"
"Simple ask","2026-08-27 17:18:35","0%","0","0%","0","0%","0","0%","493","100%","67.3%","332","0","357","0.20%","1","493"
"Simple ask","2026-08-27 17:20:33","0%","0","0%","0","1.1%","15","1.5%","1,377","100%","70.3%","968","17","1,055","0.29%","4","1,377"
"Simple ask","2026-08-27 17:26:11","0.03%","1","0.05%","2","0.29%","11","0.74%","3,787","99.9%","39.5%","1,495","18","1,783","0.32%","12","3,789"
"Simple ask","2026-08-27 17:29:12","0.04%","1","0%","0","1.2%","28","1.6%","2,252","100%","79.3%","1,786","44","2,083","0.22%","5","2,252"
"Simple ask","2026-08-27 17:31:26","0%","0","0.28%","4","0.41%","6","0.52%","1,446","99.7%","80.1%","1,158","6","1,207","0.14%","2","1,450"
"Simple ask","2026-08-27 17:33:07","0%","0","0.19%","4","11.2%","241","17.8%","2,150","99.8%","62.9%","1,352","256","1,628","0.19%","4","2,154"
