Campaign,Date Sent,Email abuse report rate,Email abuse reports,Email bounce rate,Email bounces,Email click rate,Email clicked,Email clicks per unique opens (MPP excluded),Email deliveries,Email delivery rate,Email open rate (MPP excluded),Email opened (MPP excluded),Email total clicks,Email total opens (MPP excluded),Email unsubscribe rate,Email unsubscribes,Emails sent
"The PM Problem","2026-05-04 18:00:00","0.04%","3","3.7%","276","0.08%","6","0.78%","7,158","96.3%","10.8%","774","10","887","0.28%","20","7,434"
"The PM Problem","2026-05-04 18:45:00","0%","0","5.8%","295","0.10%","5","0.62%","4,775","94.2%","16.9%","808","9","891","0.23%","11","5,070"
"The PM Problem","2026-05-04 19:15:00","0.10%","13","3.3%","432","0.09%","12","0.89%","12,729","96.7%","10.6%","1,353","23","1,747","0.35%","45","13,161"
"The PM Problem","2026-05-04 19:15:00","0.06%","3","2.4%","133","0.28%","15","1.4%","5,341","97.6%","19.6%","1,048","26","1,332","0.58%","31","5,474"
"The PM Problem","2026-05-04 19:30:00","0.03%","4","3.8%","626","0.18%","29","1.6%","15,840","96.2%","11.6%","1,843","69","2,127","0.47%","74","16,466"
"Buyer Psychology","2026-05-06 07:30:00","0.08%","4","2.6%","143","0.25%","13","1.8%","5,281","97.4%","14.0%","741","13","871","1.2%","62","5,424"
"Buyer Psychology","2026-05-06 07:30:00","0.02%","1","3.0%","164","0.09%","5","0.65%","5,307","97.0%","14.6%","775","11","921","0.23%","12","5,471"
"Buyer Psychology","2026-05-06 07:45:00","0.03%","2","3.3%","246","0.03%","2","0.30%","7,129","96.7%","9.4%","668","2","731","0.35%","25","7,375"
"Buyer Psychology","2026-05-06 08:15:00","0%","0","3.4%","64","0.17%","3","0.83%","1,804","96.6%","20.0%","361","4","391","0.06%","1","1,868"
"Buyer Psychology","2026-05-06 10:00:00","0%","0","5.1%","178","0.06%","2","0.48%","3,295","94.9%","12.7%","420","3","446","0.30%","10","3,473"
"Buyer Psychology","2026-05-06 10:15:00","0%","0","3.3%","175","0.19%","10","1.6%","5,190","96.7%","11.7%","608","27","681","0.31%","16","5,365"
"Friday SPEAR","2026-05-08 09:00:00","0.06%","2","0.78%","27","0.23%","8","0.36%","3,418","99.2%","65.1%","2,225","18","2,791","0.61%","21","3,445"
"Friday SPEAR","2026-05-08 09:00:00","0.04%","1","0.08%","2","0.17%","4","1.0%","2,410","99.9%","16.3%","392","4","474","1.1%","26","2,412"
"Friday SPEAR","2026-05-08 09:00:00","0%","0","0%","0","0.18%","1","0.33%","567","100%","54.1%","307","2","325","1.1%","6","567"
"Friday SPEAR","2026-05-08 09:00:00","0%","0","0.15%","2","0.22%","3","0.56%","1,336","99.9%","40.1%","536","3","610","0.45%","6","1,338"
"Friday SPEAR","2026-05-08 10:00:00","0%","0","0.27%","4","0.34%","5","0.46%","1,480","99.7%","73.4%","1,086","13","1,149","0.41%","6","1,484"
"Friday SPEAR","2026-05-08 12:00:00","0%","0","0.17%","6","0.53%","19","1.1%","3,556","99.8%","48.2%","1,713","84","1,955","1.3%","46","3,562"
"Buyer Psychology 2","2026-05-12 12:00:00","0.03%","1","0.57%","19","0.18%","6","0.28%","3,336","99.4%","64.8%","2,162","15","2,684","0.57%","19","3,355"
"Buyer Psychology 2","2026-05-12 12:00:00","0%","0","0%","0","0%","0","0%","568","100%","48.1%","273","0","285","0.35%","2","568"
"Buyer Psychology 2","2026-05-12 12:00:00","0%","0","0.15%","2","0.23%","3","0.65%","1,315","99.8%","35.1%","462","5","523","0.76%","10","1,317"
"Buyer Psychology 2","2026-05-12 12:00:00","0%","0","0%","0","0.12%","3","0.89%","2,423","100%","13.9%","337","7","400","0.87%","21","2,423"
"Buyer Psychology 2","2026-05-12 13:00:00","0%","0","0.13%","2","0.40%","6","0.57%","1,486","99.9%","70.9%","1,054","16","1,120","0.47%","7","1,488"
"Buyer Psychology 2","2026-05-12 15:00:00","0.03%","1","0.28%","10","0.56%","20","1.1%","3,552","99.7%","49.8%","1,769","75","1,941","1.2%","43","3,562"
"Seller Objection","2026-05-14 08:45:00","0%","0","0%","0","0.36%","2","0.55%","560","100%","65%","364","2","392","0.54%","3","560"
"Seller Objection","2026-05-14 08:45:00","0%","0","0%","0","0.54%","7","0.99%","1,286","100%","55.1%","709","14","771","0.70%","9","1,286"
"Seller Objection","2026-05-14 08:45:00","0%","0","0.40%","13","0.67%","22","0.95%","3,271","99.6%","71.0%","2,321","56","3,103","0.43%","14","3,284"
"Seller Objection","2026-05-14 08:45:00","0%","0","0.13%","3","0.29%","7","1.4%","2,391","99.9%","21.2%","507","15","595","0.67%","16","2,394"
"Seller Objection","2026-05-14 09:45:00","0%","0","0%","0","0.27%","4","0.34%","1,481","100%","79.2%","1,173","14","1,274","0.54%","8","1,481"
"Seller Objection","2026-05-14 11:45:00","0.06%","2","0.34%","12","0.51%","18","0.91%","3,522","99.7%","56.3%","1,983","60","2,173","0.43%","15","3,534"
"Sat Consequence","2026-05-16 17:00:00","0.03%","1","0.37%","12","0.56%","18","1.0%","3,232","99.6%","54.4%","1,759","26","2,331","0.65%","21","3,244"
"Sat Consequence","2026-05-16 17:00:00","0%","0","0%","0","0.72%","4","1.1%","559","100%","67.4%","377","6","425","0.36%","2","559"
"Sat Consequence","2026-05-16 17:00:00","0%","0","0.16%","2","0.08%","1","0.14%","1,268","99.8%","56.2%","712","1","822","0.47%","6","1,270"
"Sat Consequence","2026-05-16 17:00:00","0%","0","0.13%","3","0.13%","3","0.39%","2,373","99.9%","32.5%","772","7","923","0.80%","19","2,376"
"Sat Consequence","2026-05-16 18:00:00","0%","0","0.14%","2","0.54%","8","0.68%","1,471","99.9%","79.5%","1,169","14","1,349","0.20%","3","1,473"
"Sat Consequence","2026-05-16 20:00:00","0.03%","1","0.26%","9","0.80%","28","1.4%","3,512","99.7%","55.0%","1,933","55","2,218","0.46%","16","3,521"
"Curbio is Better","2026-05-18 15:00:00","0.03%","1","0.27%","8","0.30%","9","0.56%","2,998","99.7%","53.4%","1,600","16","2,318","0.60%","18","3,006"
"Curbio is Better","2026-05-18 15:00:00","0%","0","0%","0","0.37%","2","0.56%","541","100%","66.0%","357","2","405","0.55%","3","541"
"Curbio is Better","2026-05-18 15:00:00","0%","0","0%","0","0.33%","4","0.54%","1,199","100%","61.7%","740","5","855","0.42%","5","1,199"
"Curbio is Better","2026-05-18 15:00:00","0%","0","0.05%","1","0.18%","4","0.50%","2,170","100.0%","36.5%","793","21","1,001","0.69%","15","2,171"
"Curbio is Better","2026-05-18 16:00:00","0%","0","0%","0","0.21%","3","0.25%","1,447","100%","81.4%","1,178","8","1,327","0.76%","11","1,447"
"Curbio is Better","2026-05-18 18:00:00","0%","0","0.39%","13","0.69%","23","1.1%","3,344","99.6%","62.0%","2,072","123","2,271","0.36%","12","3,357"
"Pay at Close","2026-05-20 12:00:00","0%","0","0%","0","0.19%","1","0.30%","530","100%","62.1%","329","2","358","0.38%","2","530"
"Pay at Closing","2026-05-20 12:15:00","0.03%","1","0.34%","10","0.34%","10","0.62%","2,960","99.7%","54.8%","1,621","17","2,109","0.74%","22","2,970"
"Pay at Closing","2026-05-20 12:15:00","0%","0","0.18%","2","0%","0","0%","1,125","99.8%","50.7%","570","0","631","0.62%","7","1,127"
"Pay at Closing","2026-05-20 12:15:00","0%","0","0%","0","0.20%","4","0.87%","2,030","100%","22.6%","458","9","592","0.59%","12","2,030"
"Pay at Closing","2026-05-20 13:15:00","0%","0","0.07%","1","0.14%","2","0.17%","1,424","99.9%","80.7%","1,149","6","1,253","0.28%","4","1,425"
"Pay at Closing","2026-05-20 15:15:00","0.06%","2","0.30%","10","0.61%","20","0.98%","3,302","99.7%","61.9%","2,044","61","2,237","0.61%","20","3,312"
"Curbio Offer","2026-05-22 09:00:00","0.09%","1","0.09%","1","0%","0","0%","1,115","99.9%","50.9%","567","0","613","0.54%","6","1,116"
"Curbio Offer","2026-05-22 09:00:00","0%","0","0%","0","0.38%","2","0.72%","526","100%","52.7%","277","2","305","0.38%","2","526"
"Curbio Offer","2026-05-22 09:00:00","0%","0","0%","0","0.40%","8","2.2%","2,012","100%","18.5%","372","17","474","0.55%","11","2,012"
