Audience,Email abuse report rate,Email abuse reports,Email bounce rate,Email bounces,Email click rate,Email clicked,Email clicks per unique opens (MPP excluded),Email deliveries,Email delivery rate,Email open rate (MPP excluded),Email opened (MPP excluded),Email total clicks,Email total opens (MPP excluded),Email unsubscribe rate,Email unsubscribes,Emails sent
"ATLANTA","0.03%","47","1.7%","2,651","2.7%","4,127","5.9%","154,967","98.3%","44.8%","69,389","5,157","91,960","0.48%","742","157,618"
"DALLAS","0.02%","22","2.5%","2,370","1.1%","967","2.3%","91,045","97.5%","45.7%","41,610","1,123","45,189","0.37%","337","93,415"
"DC","0.01%","2","1.3%","366","0.42%","114","0.83%","27,359","98.7%","50.1%","13,708","123","15,348","0.52%","141","27,725"
"LOS ANGELES","0.03%","40","1.9%","3,114","2.8%","4,530","7.3%","159,758","98.1%","39.0%","62,256","6,113","72,700","0.64%","1,018","162,872"
"MARYLAND","0.03%","42","0.83%","1,225","0.40%","582","1.3%","146,232","99.2%","31.6%","46,241","832","58,870","0.84%","1,225","147,457"
"NOVA","0.02%","19","1.8%","1,649","0.68%","616","1.9%","90,185","98.2%","35.7%","32,162","663","36,747","0.37%","337","91,834"
